Step;RediscrTime/s;RANDOM-phi1-PHI-phi2;0-60-55-45;1-0-30-45;SumRediscrVolume=8e+06
189;89.0675;0;7.21085e+06;789149;
190;89.5363;0;7.19978e+06;800221;
191;90.0051;0;7.18871e+06;811294;
192;90.4739;0;7.17763e+06;822366;
193;90.9426;0;7.16656e+06;833438;
194;91.4114;0;7.15549e+06;844510;
195;91.8802;0;7.14442e+06;855582;
196;92.349;0;7.13335e+06;866654;
197;92.8177;0;7.12299e+06;877014;
198;93.2865;0;7.1168e+06;883205;
199;93.7553;0;7.1106e+06;889396;
200;94.2241;0;7.10441e+06;895587;
201;94.6928;0;7.09018e+06;909815;
202;95.1616;0;7.07509e+06;924911;
203;95.6304;0;7.05999e+06;940006;
204;96.0992;0;7.0449e+06;955102;
205;96.5679;0;7.0298e+06;970197;
206;97.0367;0;7.01471e+06;985293;
207;97.5055;0;7.00079e+06;999213;
208;97.9743;0;6.98852e+06;1.01148e+06;
209;98.4431;0;6.97626e+06;1.02374e+06;
210;98.9118;0;6.96399e+06;1.03601e+06;
211;99.3806;0;6.95172e+06;1.04828e+06;
212;99.8494;0;6.93946e+06;1.06054e+06;
213;100.318;0;6.92719e+06;1.07281e+06;
214;100.787;0;6.91493e+06;1.08507e+06;
215;101.256;0;6.90266e+06;1.09734e+06;
216;101.724;0;6.89039e+06;1.10961e+06;
217;102.193;0;6.87412e+06;1.12588e+06;
218;102.662;0;6.85599e+06;1.14401e+06;
219;103.131;0;6.83787e+06;1.16213e+06;
220;103.6;0;6.82344e+06;1.17656e+06;
221;104.068;0;6.81369e+06;1.18631e+06;
222;104.537;0;6.80393e+06;1.19607e+06;
223;105.006;0;6.79418e+06;1.20582e+06;
224;105.475;0;6.78443e+06;1.21557e+06;
225;105.943;0;6.77467e+06;1.22533e+06;
226;106.412;0;6.76492e+06;1.23508e+06;
227;106.881;0;6.74179e+06;1.25821e+06;
228;107.35;0;6.71803e+06;1.28197e+06;
229;107.819;0;6.69427e+06;1.30573e+06;
230;108.287;0;6.68115e+06;1.31885e+06;
231;108.756;0;6.67235e+06;1.32765e+06;
232;109.225;0;6.66355e+06;1.33645e+06;
233;109.694;0;6.65475e+06;1.34525e+06;
234;110.162;0;6.64595e+06;1.35405e+06;
235;110.631;0;6.63715e+06;1.36285e+06;
236;111.1;0;6.6238e+06;1.3762e+06;
237;111.569;0;6.59467e+06;1.40533e+06;
238;112.038;0;6.56554e+06;1.43446e+06;
239;112.506;0;6.5364e+06;1.4636e+06;
240;112.975;0;6.51999e+06;1.48001e+06;
241;113.444;0;6.50382e+06;1.49618e+06;
242;113.913;0;6.48766e+06;1.51234e+06;
243;114.381;0;6.47149e+06;1.52851e+06;
244;114.85;0;6.45533e+06;1.54467e+06;
245;115.319;0;6.43916e+06;1.56084e+06;
246;115.788;0;6.423e+06;1.577e+06;
247;116.257;0;6.40683e+06;1.59317e+06;
248;116.725;0;6.39067e+06;1.60933e+06;
249;117.194;0;6.37437e+06;1.62563e+06;
250;117.663;0;6.35765e+06;1.64235e+06;
251;118.132;0;6.34093e+06;1.65907e+06;
252;118.6;0;6.32431e+06;1.67569e+06;
253;119.069;0;6.32244e+06;1.67756e+06;
254;119.538;0;6.32057e+06;1.67943e+06;
255;120.007;0;6.31869e+06;1.68131e+06;
256;120.476;0;6.29602e+06;1.70398e+06;
257;120.944;0;6.26687e+06;1.73313e+06;
258;121.413;0;6.23773e+06;1.76227e+06;
259;121.882;0;6.2124e+06;1.7876e+06;
260;122.351;0;6.1906e+06;1.8094e+06;
261;122.819;0;6.1688e+06;1.8312e+06;
262;123.288;0;6.1493e+06;1.8507e+06;
263;123.757;0;6.13583e+06;1.86417e+06;
264;124.226;0;6.12236e+06;1.87764e+06;
265;124.695;0;6.10889e+06;1.89111e+06;
266;125.163;0;6.09542e+06;1.90458e+06;
267;125.632;0;6.08195e+06;1.91805e+06;
268;126.101;0;6.06848e+06;1.93152e+06;
269;126.57;0;6.04467e+06;1.95533e+06;
270;127.038;0;6.01809e+06;1.98191e+06;
271;127.507;0;5.99151e+06;2.00849e+06;
272;127.976;0;5.97231e+06;2.02769e+06;
273;128.445;0;5.95927e+06;2.04073e+06;
274;128.914;0;5.94622e+06;2.05378e+06;
275;129.382;0;5.93318e+06;2.06682e+06;
276;129.851;0;5.92013e+06;2.07987e+06;
277;130.32;0;5.90708e+06;2.09292e+06;
278;130.789;0;5.89299e+06;2.10701e+06;
279;131.257;0;5.86205e+06;2.13795e+06;
280;131.726;0;5.83111e+06;2.16889e+06;
281;132.195;0;5.80017e+06;2.19983e+06;
282;132.664;0;5.78215e+06;2.21785e+06;
283;133.133;0;5.76706e+06;2.23294e+06;
284;133.601;0;5.75197e+06;2.24803e+06;
285;134.07;0;5.73297e+06;2.26703e+06;
286;134.539;0;5.71104e+06;2.28896e+06;
287;135.008;0;5.68912e+06;2.31088e+06;
288;135.476;0;5.66719e+06;2.33281e+06;
289;135.945;0;5.64527e+06;2.35473e+06;
290;136.414;0;5.62334e+06;2.37666e+06;
291;136.883;0;5.60162e+06;2.39838e+06;
292;137.351;0;5.58213e+06;2.41787e+06;
293;137.82;0;5.56264e+06;2.43736e+06;
294;138.289;0;5.54314e+06;2.45686e+06;
295;138.758;0;5.5238e+06;2.4762e+06;
296;139.227;0;5.50448e+06;2.49552e+06;
297;139.695;0;5.48517e+06;2.51483e+06;
298;140.164;0;5.46585e+06;2.53415e+06;
299;140.633;0;5.44654e+06;2.55346e+06;
300;141.102;0;5.42722e+06;2.57278e+06;
301;141.57;0;5.40639e+06;2.59361e+06;
302;142.039;0;5.38279e+06;2.61721e+06;
303;142.508;0;5.35919e+06;2.64081e+06;
304;142.977;0;5.33752e+06;2.66248e+06;
305;143.446;0;5.33144e+06;2.66856e+06;
