Step;RediscrTime/s;SumRediscrVolume--8e+06--;X;lnt;ln(-ln(1-X))
167;78.7544;559516;0.0699395;4.36633;-2.62409
168;79.2232;568263;0.0710328;4.37227;-2.608
169;79.692;577009;0.0721261;4.37817;-2.59214
170;80.1608;585755;0.0732194;4.38403;-2.57652
171;80.6295;594501;0.0743126;4.38987;-2.56111
172;81.0983;603247;0.0754059;4.39566;-2.54593
173;81.5671;611994;0.0764992;4.40143;-2.53095
174;82.0359;620740;0.0775925;4.40716;-2.51617
175;82.5047;633066;0.0791333;4.41285;-2.49568
176;82.9734;646021;0.0807527;4.41852;-2.47456
177;83.4422;658976;0.0823721;4.42415;-2.45384
178;83.911;670574;0.0838218;4.42976;-2.43561
179;84.3798;681294;0.0851617;4.43533;-2.41903
180;84.8485;692013;0.0865016;4.44087;-2.4027
181;85.3173;702732;0.0878415;4.44638;-2.3866
182;85.7861;713452;0.0891815;4.45186;-2.37074
183;86.2549;724171;0.0905214;4.45731;-2.3551
184;86.7236;734890;0.0918613;4.46273;-2.33968
185;87.1924;745610;0.0932012;4.46812;-2.32448
186;87.6612;756329;0.0945411;4.47348;-2.30947
187;88.13;767048;0.0958811;4.47881;-2.29467
188;88.5987;778077;0.0972596;4.48412;-2.27965
189;89.0675;789149;0.0986437;4.48939;-2.26476
190;89.5363;800221;0.100028;4.49464;-2.25008
191;90.0051;811294;0.101412;4.49987;-2.23558
192;90.4739;822366;0.102796;4.50506;-2.22127
193;90.9426;833438;0.10418;4.51023;-2.20713
194;91.4114;844510;0.105564;4.51537;-2.19318
195;91.8802;855582;0.106948;4.52049;-2.17939
196;92.349;866654;0.108332;4.52557;-2.16577
197;92.8177;877014;0.109627;4.53064;-2.15318
198;93.2865;883205;0.110401;4.53568;-2.14572
199;93.7553;889396;0.111174;4.54069;-2.13831
200;94.2241;895587;0.111948;4.54568;-2.13094
201;94.6928;909815;0.113727;4.55064;-2.1142
202;95.1616;924911;0.115614;4.55558;-2.0967
203;95.6304;940006;0.117501;4.56049;-2.07946
204;96.0992;955102;0.119388;4.56538;-2.06248
205;96.5679;970197;0.121275;4.57025;-2.04575
206;97.0367;985293;0.123162;4.57509;-2.02926
207;97.5055;999213;0.124902;4.57991;-2.01426
208;97.9743;1.01148e+06;0.126435;4.5847;-2.0012
209;98.4431;1.02374e+06;0.127968;4.58948;-1.98829
210;98.9118;1.03601e+06;0.129501;4.59423;-1.97552
211;99.3806;1.04828e+06;0.131035;4.59896;-1.96289
212;99.8494;1.06054e+06;0.132568;4.60366;-1.95039
213;100.318;1.07281e+06;0.134101;4.60835;-1.93803
214;100.787;1.08507e+06;0.135634;4.61301;-1.9258
215;101.256;1.09734e+06;0.137168;4.61765;-1.91369
216;101.724;1.10961e+06;0.138701;4.62227;-1.90171
217;102.193;1.12588e+06;0.140736;4.62687;-1.88599
218;102.662;1.14401e+06;0.143001;4.63144;-1.86874
219;103.131;1.16213e+06;0.145266;4.636;-1.85173
220;103.6;1.17656e+06;0.14707;4.64053;-1.83836
221;104.068;1.18631e+06;0.148289;4.64505;-1.82941
222;104.537;1.19607e+06;0.149508;4.64954;-1.82053
223;105.006;1.20582e+06;0.150728;4.65402;-1.81171
224;105.475;1.21557e+06;0.151947;4.65847;-1.80295
225;105.943;1.22533e+06;0.153166;4.66291;-1.79426
226;106.412;1.23508e+06;0.154385;4.66732;-1.78563
227;106.881;1.25821e+06;0.157276;4.67172;-1.76542
228;107.35;1.28197e+06;0.160246;4.67609;-1.74499
229;107.819;1.30573e+06;0.163216;4.68045;-1.72491
230;108.287;1.31885e+06;0.164856;4.68479;-1.71396
231;108.756;1.32765e+06;0.165956;4.68911;-1.70667
232;109.225;1.33645e+06;0.167056;4.69341;-1.69942
233;109.694;1.34525e+06;0.168156;4.69769;-1.69222
234;110.162;1.35405e+06;0.169256;4.70196;-1.68506
235;110.631;1.36285e+06;0.170356;4.7062;-1.67794
236;111.1;1.3762e+06;0.172025;4.71043;-1.66721
237;111.569;1.40533e+06;0.175666;4.71464;-1.64413
238;112.038;1.43446e+06;0.179308;4.71883;-1.62147
239;112.506;1.4636e+06;0.182949;4.72301;-1.59922
240;112.975;1.48001e+06;0.185002;4.72717;-1.58685
241;113.444;1.49618e+06;0.187022;4.73131;-1.57479
242;113.913;1.51234e+06;0.189043;4.73543;-1.56284
243;114.381;1.52851e+06;0.191063;4.73954;-1.55101
244;114.85;1.54467e+06;0.193084;4.74363;-1.53928
245;115.319;1.56084e+06;0.195105;4.7477;-1.52766
246;115.788;1.577e+06;0.197125;4.75176;-1.51615
247;116.257;1.59317e+06;0.199146;4.7558;-1.50473
248;116.725;1.60933e+06;0.201166;4.75982;-1.49342
249;117.194;1.62563e+06;0.203204;4.76383;-1.48211
250;117.663;1.64235e+06;0.205294;4.76782;-1.47062
251;118.132;1.65907e+06;0.207383;4.7718;-1.45923
252;118.6;1.67569e+06;0.209461;4.77576;-1.448
253;119.069;1.67756e+06;0.209695;4.7797;-1.44674
254;119.538;1.67943e+06;0.209929;4.78363;-1.44548
255;120.007;1.68131e+06;0.210163;4.78755;-1.44422
256;120.476;1.70398e+06;0.212998;4.79145;-1.4291
257;120.944;1.73313e+06;0.216641;4.79533;-1.40992
258;121.413;1.76227e+06;0.220283;4.7992;-1.39101
259;121.882;1.7876e+06;0.223449;4.80305;-1.37479
260;122.351;1.8094e+06;0.226175;4.80689;-1.36098
261;122.819;1.8312e+06;0.2289;4.81072;-1.34731
262;123.288;1.8507e+06;0.231338;4.81452;-1.33521
263;123.757;1.86417e+06;0.233021;4.81832;-1.32691
264;124.226;1.87764e+06;0.234705;4.8221;-1.31866
265;124.695;1.89111e+06;0.236389;4.82587;-1.31046
266;125.163;1.90458e+06;0.238072;4.82962;-1.30231
267;125.632;1.91805e+06;0.239756;4.83336;-1.29421
268;126.101;1.93152e+06;0.241439;4.83708;-1.28615
269;126.57;1.95533e+06;0.244416;4.84079;-1.27202
270;127.038;1.98191e+06;0.247739;4.84449;-1.25642
271;127.507;2.00849e+06;0.251061;4.84817;-1.24099
272;127.976;2.02769e+06;0.253461;4.85184;-1.22995
273;128.445;2.04073e+06;0.255092;4.8555;-1.2225
274;128.914;2.05378e+06;0.256722;4.85914;-1.21508
275;129.382;2.06682e+06;0.258353;4.86277;-1.20771
276;129.851;2.07987e+06;0.259984;4.86639;-1.20037
277;130.32;2.09292e+06;0.261614;4.86999;-1.19307
278;130.789;2.10701e+06;0.263376;4.87358;-1.18522
279;131.257;2.13795e+06;0.267244;4.87716;-1.16815
280;131.726;2.16889e+06;0.271111;4.88073;-1.15127
281;132.195;2.19983e+06;0.274979;4.88428;-1.13459
282;132.664;2.21785e+06;0.277232;4.88782;-1.12496
283;133.133;2.23294e+06;0.279118;4.89134;-1.11694
284;133.601;2.24803e+06;0.281004;4.89486;-1.10897
285;134.07;2.26703e+06;0.283379;4.89836;-1.09899
286;134.539;2.28896e+06;0.286119;4.90185;-1.08756
287;135.008;2.31088e+06;0.28886;4.90533;-1.07621
288;135.476;2.33281e+06;0.291601;4.9088;-1.06494
289;135.945;2.35473e+06;0.294341;4.91225;-1.05376
290;136.414;2.37666e+06;0.297082;4.91569;-1.04266
291;136.883;2.39838e+06;0.299797;4.91912;-1.03174
292;137.351;2.41787e+06;0.302234;4.92254;-1.02201
293;137.82;2.43736e+06;0.30467;4.92595;-1.01234
294;138.289;2.45686e+06;0.307107;4.92935;-1.00272
295;138.758;2.4762e+06;0.309525;4.93273;-0.993238
296;139.227;2.49552e+06;0.311939;4.9361;-0.983824
297;139.695;2.51483e+06;0.314354;4.93946;-0.974466
298;140.164;2.53415e+06;0.316768;4.94281;-0.965163
299;140.633;2.55346e+06;0.319183;4.94615;-0.955912
300;141.102;2.57278e+06;0.321597;4.94948;-0.946714
301;141.57;2.59361e+06;0.324201;4.9528;-0.936851
302;142.039;2.61721e+06;0.327151;4.9561;-0.925748
303;142.508;2.64081e+06;0.330102;4.9594;-0.914719
304;142.977;2.66248e+06;0.33281;4.96268;-0.904657
305;143.446;2.66856e+06;0.33357;4.96596;-0.901845
306;143.914;2.67464e+06;0.33433;4.96922;-0.899037
307;144.383;2.68072e+06;0.33509;4.97247;-0.896234
308;144.852;2.70577e+06;0.338222;4.97571;-0.884732
