Time=468.308s,NGrains=947,Vref=8e+06,Mean=8447.73,Median=7828,StdDev=3499.87,Min=-1,Max=1e+36
Rank;Volume/Cells;IncubationTime/s;Ideal(RANDOMis0);ln(Vi/Vav);CumSumi/Vref*100%
0;6749;0;2;-0.224503;21.2992
0;6753;0;2;-0.223911;21.3836
0;6756;0;2;-0.223467;21.4681
0;6757;0;2;-0.223319;21.5526
0;6758;0;2;-0.223171;21.637
0;6760;0;2;-0.222875;21.7215
0;6771;0;2;-0.221249;21.8062
0;6776;0;2;-0.220511;21.8909
0;6780;0;2;-0.219921;21.9756
0;6792;0;2;-0.218152;22.0605
0;6800;0;2;-0.216975;22.1455
0;6815;0;2;-0.214772;22.2307
0;6816;0;2;-0.214625;22.3159
0;6816;0;2;-0.214625;22.4011
0;6818;0;2;-0.214332;22.4863
0;6818;0;2;-0.214332;22.5716
0;6821;0;2;-0.213892;22.6568
0;6835;0;2;-0.211841;22.7422
0;6843;0;2;-0.210671;22.8278
0;6860;0;2;-0.20819;22.9135
0;6898;0;2;-0.202666;22.9998
0;6914;0;2;-0.200349;23.0862
0;6924;0;2;-0.198904;23.1727
0;6929;0;2;-0.198182;23.2594
0;6930;0;2;-0.198038;23.346
0;6939;0;2;-0.19674;23.4327
0;6944;0;2;-0.19602;23.5195
0;6946;0;2;-0.195732;23.6063
0;6947;0;2;-0.195588;23.6932
0;6954;0;2;-0.194581;23.7801
0;6965;0;2;-0.193;23.8672
0;6966;0;2;-0.192857;23.9542
0;7018;0;2;-0.185419;24.042
0;7029;0;2;-0.183853;24.1298
0;7037;0;2;-0.182716;24.2178
0;7038;0;2;-0.182574;24.3058
0;7039;0;2;-0.182432;24.3938
0;7071;0;2;-0.177896;24.4821
0;7079;0;2;-0.176765;24.5706
0;7101;0;2;-0.173662;24.6594
0;7102;0;2;-0.173521;24.7482
0;7103;0;2;-0.17338;24.8369
0;7105;0;2;-0.173099;24.9258
0;7109;0;2;-0.172536;25.0146
0;7111;0;2;-0.172255;25.1035
0;7113;0;2;-0.171974;25.1924
0;7122;0;2;-0.170709;25.2814
0;7128;0;2;-0.169867;25.3705
0;7146;0;2;-0.167345;25.4599
0;7155;0;2;-0.166086;25.5493
0;7183;0;2;-0.162181;25.6391
0;7187;0;2;-0.161624;25.7289
0;7192;0;2;-0.160928;25.8188
0;7211;0;2;-0.15829;25.909
0;7224;0;2;-0.156489;25.9993
0;7234;0;2;-0.155106;26.0897
0;7235;0;2;-0.154967;26.1801
0;7243;0;2;-0.153862;26.2707
0;7243;0;2;-0.153862;26.3612
0;7243;0;2;-0.153862;26.4518
0;7249;0;2;-0.153034;26.5424
0;7252;0;2;-0.15262;26.633
0;7256;0;2;-0.152069;26.7237
0;7261;0;2;-0.15138;26.8145
0;7293;0;2;-0.146983;26.9056
0;7295;0;2;-0.146709;26.9968
0;7302;0;2;-0.145749;27.0881
0;7306;0;2;-0.145202;27.1794
0;7351;0;2;-0.139061;27.2713
0;7354;0;2;-0.138653;27.3632
0;7359;0;2;-0.137974;27.4552
0;7373;0;2;-0.136073;27.5474
0;7383;0;2;-0.134718;27.6397
0;7396;0;2;-0.132958;27.7321
0;7397;0;2;-0.132823;27.8246
0;7400;0;2;-0.132418;27.9171
0;7401;0;2;-0.132283;28.0096
0;7402;0;2;-0.132147;28.1021
0;7402;0;2;-0.132147;28.1946
0;7407;0;2;-0.131472;28.2872
0;7416;0;2;-0.130258;28.3799
0;7420;0;2;-0.129719;28.4727
0;7439;0;2;-0.127161;28.5657
0;7451;0;2;-0.125549;28.6588
0;7470;0;2;-0.123003;28.7522
0;7475;0;2;-0.122334;28.8456
0;7477;0;2;-0.122066;28.9391
0;7487;0;2;-0.12073;29.0327
0;7490;0;2;-0.120329;29.1263
0;7494;0;2;-0.119795;29.22
0;7494;0;2;-0.119795;29.3137
0;7502;0;2;-0.118728;29.4074
0;7529;0;2;-0.115135;29.5015
