GrainID/Step;;;;;;;;;0;80000;160000;240000;320000;400000;480000;560000;640000;720000;800000;880000;960000;1.04e+06;1.12e+06;1.2e+06;1.28e+06;1.36e+06;1.44e+06;1.52e+06;1.6e+06;1.68e+06;1.76e+06;1.84e+06;1.92e+06;2e+06;2.08e+06;2.16e+06;2.24e+06;2.32e+06;2.4e+06;2.48e+06;2.56e+06;2.64e+06;2.72e+06;2.8e+06;2.88e+06;2.96e+06;3.04e+06;3.12e+06;3.2e+06;3.28e+06;3.36e+06;3.44e+06;3.52e+06;3.6e+06;3.68e+06;3.76e+06;3.84e+06;3.92e+06;4e+06;4.08e+06;4.16e+06;4.24e+06;4.32e+06;4.4e+06;4.48e+06;4.56e+06;4.64e+06;4.72e+06;4.8e+06;4.88e+06;4.96e+06;5.04e+06;5.12e+06;5.2e+06;5.28e+06;5.36e+06;5.44e+06;5.52e+06;5.6e+06;5.68e+06;5.76e+06;5.84e+06;5.92e+06;6e+06;6.08e+06;6.16e+06;6.24e+06;6.32e+06;6.4e+06;6.48e+06;6.56e+06;6.64e+06;6.72e+06;6.8e+06;6.88e+06;6.96e+06;7.04e+06;7.12e+06;7.2e+06;7.28e+06;7.36e+06;7.44e+06;7.52e+06;7.6e+06;7.68e+06;7.76e+06;7.84e+06;7.92e+06;8e+06
14;99;55;102;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1328;1404;1497;1561;1673;1847;1897;1904;2010;2079;2174;2259;2344;2438;2482;2615;2673;2783;2852;2870;2949;3027;3068;3117;3202;3254;3385;3444;3466;3567;3634;3741;3817;3853;3911;4001;4053;4088;4190;4246;4374;4434;4459;4543;4616;4650;4714;4802;4843;4980;5030;5058;5150;5210;5314;5385;5421;5478;5559;5641;5727;5804;5885;5946;6033;6103;6185;6303;6410;6458;6547;6627;6737;6804;6897;6982;7087;7188;7278;7345;7399;7459;7495;7526;7543;7552;7554
15;91;24;18;0;0;0.523599;0.785398;2;1;93;201;256;344;454;529;601;639;733;833;849;934;1040;1094;1150;1223;1273;1351;1482;1530;1535;1610;1672;1745;1806;1873;1939;1981;2071;2123;2206;2253;2269;2329;2382;2416;2455;2510;2550;2646;2682;2703;2770;2810;2890;2932;2960;3006;3062;3088;3121;3181;3209;3299;3331;3353;3413;3453;3472;3520;3572;3594;3692;3717;3745;3811;3845;3921;3965;3985;4033;4090;4149;4211;4266;4326;4363;4440;4484;4552;4621;4703;4720;4790;4825;4886;4925;4957;4997;5035;5064;5085;5100;5110;5119;5121;5122;5122;5122;5122
16;113;115;191;1;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;971;995;1107;1246;1316;1388;1479;1543;1652;1830;1896;1902;2004;2085;2174;2272;2356;2466;2515;2658;2722;2843;2918;2938;3025;3112;3154;3209;3305;3359;3506;3569;3593;3707;3780;3905;3979;4015;4081;4173;4223;4265;4372;4430;4572;4637;4663;4758;4834;4867;4944;5030;5069;5222;5274;5310;5404;5462;5580;5646;5680;5751;5827;5912;5988;6063;6139;6190;6274;6329;6396;6471;6559;6582;6652;6693;6766;6797;6844;6892;6941;6985;7029;7069;7105;7155;7207;7255;7287;7306;7306
17;156;135;98;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1327;1403;1494;1561;1675;1864;1932;1939;2052;2141;2248;2357;2458;2576;2636;2801;2874;3017;3108;3130;3233;3332;3381;3447;3562;3627;3800;3877;3907;4033;4116;4252;4346;4386;4464;4573;4630;4681;4804;4867;5024;5096;5131;5236;5324;5361;5438;5535;5576;5738;5792;5830;5930;5991;6113;6183;6220;6291;6373;6468;6556;6639;6730;6790;6900;6968;7069;7187;7322;7368;7491;7579;7723;7818;7927;8057;8221;8377;8532;8690;8855;9066;9327;9605;9888;10102;10173
18;134;183;119;1;0;0.523599;0.785398;2;1;93;203;263;365;493;582;677;725;837;949;971;1064;1176;1231;1283;1352;1397;1479;1603;1647;1651;1722;1776;1837;1903;1964;2031;2067;2156;2200;2278;2332;2344;2401;2456;2483;2519;2582;2615;2711;2752;2770;2841;2885;2960;3010;3033;3076;3140;3175;3203;3272;3309;3401;3446;3464;3527;3580;3604;3655;3720;3748;3856;3893;3919;3993;4038;4131;4186;4210;4265;4331;4403;4477;4547;4627;4676;4772;4830;4919;5020;5140;5180;5288;5371;5487;5576;5677;5777;5907;6032;6146;6253;6355;6479;6590;6686;6768;6808;6816
19;41;112;139;0;0;0.523599;0.785398;2;1;92;194;245;329;428;493;559;587;665;745;757;833;918;955;1006;1058;1102;1170;1284;1315;1320;1395;1438;1505;1562;1622;1692;1720;1827;1865;1957;2007;2020;2088;2152;2179;2226;2304;2339;2461;2504;2528;2615;2665;2760;2822;2850;2906;2984;3020;3060;3148;3190;3310;3360;3388;3462;3522;3549;3607;3678;3710;3830;3869;3894;3974;4019;4109;4161;4185;4241;4300;4364;4427;4486;4542;4582;4654;4700;4766;4842;4914;4941;4998;5038;5091;5134;5173;5214;5265;5311;5352;5387;5422;5464;5508;5555;5604;5666;5695
20;89;158;197;1;0;0.523599;0.785398;2;1;93;203;263;365;493;583;677;722;835;950;970;1075;1201;1264;1330;1410;1467;1562;1711;1761;1767;1854;1917;1991;2064;2130;2213;2246;2359;2400;2493;2542;2553;2617;2672;2696;2739;2806;2836;2944;2982;3001;3077;3122;3204;3257;3280;3328;3392;3425;3458;3530;3568;3664;3706;3729;3793;3844;3871;3924;3987;4019;4128;4166;4195;4269;4312;4404;4457;4487;4541;4606;4675;4749;4814;4889;4931;5023;5071;5151;5234;5327;5355;5436;5488;5565;5617;5673;5738;5812;5881;5951;6017;6083;6176;6272;6392;6536;6737;6860
21;155;64;23;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1329;1407;1503;1575;1695;1899;1971;1979;2105;2201;2321;2441;2561;2705;2777;2986;3082;3270;3390;3418;3558;3702;3758;3854;4022;4096;4359;4450;4498;4694;4801;5011;5138;5196;5324;5481;5565;5651;5832;5932;6179;6299;6354;6520;6665;6730;6862;7035;7119;7412;7525;7590;7788;7920;8150;8296;8363;8498;8665;8847;9028;9197;9373;9486;9698;9832;10023;10236;10468;10550;10750;10897;11123;11264;11435;11611;11823;12010;12163;12293;12414;12566;12703;12804;12869;12891;12891
22;158;49;176;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1329;1407;1503;1575;1695;1899;1971;1979;2105;2201;2321;2441;2558;2699;2766;2971;3059;3243;3352;3379;3515;3646;3704;3796;3952;4029;4274;4371;4414;4594;4711;4903;5042;5096;5207;5373;5454;5526;5710;5805;6041;6149;6198;6360;6493;6554;6680;6842;6918;7186;7285;7345;7519;7635;7850;7981;8047;8172;8320;8491;8649;8812;8969;9072;9261;9370;9532;9706;9912;9970;10152;10264;10435;10555;10673;10807;10955;11095;11216;11323;11414;11511;11596;11642;11667;11674;11674
23;168;18;51;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1112;1249;1315;1385;1469;1528;1626;1779;1828;1834;1919;1981;2053;2128;2191;2274;2307;2424;2466;2564;2615;2630;2700;2761;2789;2834;2906;2940;3053;3091;3113;3190;3232;3311;3358;3377;3425;3481;3506;3540;3604;3633;3714;3746;3763;3816;3854;3870;3908;3952;3972;4046;4065;4082;4128;4152;4206;4235;4249;4274;4306;4340;4377;4405;4438;4456;4485;4509;4531;4562;4603;4609;4632;4647;4676;4686;4703;4722;4735;4746;4755;4763;4769;4776;4778;4784;4788;4788;4788
